,words,words_index,tags,tags_index
10,"['现', '任', '北', '京', '鼎', '汉', '技', '术', '股', '份', '有', '限', '公', '司', '董', '事', '会', '董', '事', '、', '副', '总', '裁', '。']","[133, 61, 128, 134, 135, 20, 123, 124, 84, 85, 86, 87, 70, 71, 66, 67, 39, 66, 67, 32, 88, 89, 136, 54]","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 9, 10, 2, 8, 9, 10, 2]"
11,"['陈', '云', '峰', '先', '生', '，']","[137, 138, 139, 140, 19, 4]","['B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'O']","[0, 17, 1, 2, 2, 2]"
12,"['1', '9', '9', '2', '年', '毕', '业', '于', '中', '国', '人', '民', '大', '学', '会', '计', '系', '，', '获', '学', '士', '学', '位', '；']","[14, 15, 15, 55, 17, 141, 101, 142, 5, 6, 62, 143, 144, 27, 39, 100, 145, 4, 146, 27, 102, 27, 147, 68]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'O', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 16, 2, 2, 11, 12, 12, 13, 2]"
13,"['1', '9', '9', '2', '年', '至', '1', '9', '9', '3', '年', '于', '外', '交', '部', '财', '务', '司', '二', '处', '工', '作', '；']","[14, 15, 15, 55, 17, 59, 14, 15, 15, 69, 17, 142, 10, 148, 76, 125, 126, 71, 119, 149, 29, 150, 68]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 14, 15, 16, 8, 9, 9, 9, 10, 2, 2, 2]"
14,"['先', '后', '担', '任', '北', '京', '中', '银', '信', '咨', '询', '有', '限', '责', '任', '公', '司', '总', '经', '理', '和', '凤', '凰', '城', '房', '地', '产', '开', '发', '集', '团', '有', '限', '公', '司', '、', '北', '京', '市', '保', '福', '房', '地', '产', '开', '发', '有', '限', '公', '司', '、', '北', '京', '新', '天', '麓', '房', '地', '产', '开', '发', '有', '限', '公', '司', '副', '总', '经', '理', '以', '及', '北', '京', '中', '经', '大', '厦', '物', '业', '管', '理', '有', '限', '责', '任', '公', '司', '、', '北', '京', '博', '雅', '苑', '置', '业', '有', '限', '公', '司', '董', '事', '长', '及', '集', '团', '执', '行', '董', '事', '，', '曾', '任', '本', '公', '司', '监', '事', '。']","[140, 151, 152, 61, 128, 134, 5, 153, 154, 155, 156, 86, 87, 157, 61, 70, 71, 89, 53, 37, 63, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 86, 87, 70, 71, 32, 128, 134, 168, 169, 170, 161, 162, 163, 164, 165, 86, 87, 70, 71, 32, 128, 134, 171, 172, 173, 161, 162, 163, 164, 165, 86, 87, 70, 71, 88, 89, 53, 37, 174, 175, 128, 134, 5, 53, 144, 176, 177, 101, 36, 37, 86, 87, 157, 61, 70, 71, 32, 128, 134, 178, 179, 180, 181, 101, 86, 87, 70, 71, 66, 67, 77, 175, 166, 167, 182, 183, 66, 67, 4, 184, 61, 25, 70, 71, 185, 67, 54]","['O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O']","[2, 2, 2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 10, 2, 14, 16, 8, 9, 9, 10, 2, 2, 2, 14, 15, 16, 8, 10, 2]"
15,"['杨', '帆', '，', '男', '，', '经', '济', '学', '博', '士', '。']","[186, 187, 4, 3, 4, 53, 188, 27, 178, 102, 54]","['B-NAME', 'E-NAME', 'O', 'O', 'O', 'B-PRO', 'M-PRO', 'E-PRO', 'B-EDU', 'E-EDU', 'O']","[0, 1, 2, 2, 2, 18, 19, 20, 11, 13, 2]"
16,"['杨', '帆', '先', '生', '曾', '任', '天', '津', '开', '发', '区', '研', '究', '所', '所', '长', '、', '国', '家', '物', '价', '局', '涉', '外', '价', '格', '司', '进', '出', '口', '处', '副', '处', '长', '、', '中', '国', '社', '会', '科', '学', '院', '经', '济', '研', '究', '所', '研', '究', '员', '。']","[186, 187, 140, 19, 184, 61, 172, 189, 164, 165, 190, 104, 105, 191, 191, 77, 32, 6, 52, 177, 192, 193, 194, 10, 192, 195, 71, 196, 18, 197, 149, 88, 149, 77, 32, 5, 6, 103, 39, 26, 27, 99, 53, 188, 104, 105, 191, 104, 105, 24, 54]","['B-NAME', 'E-NAME', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[0, 1, 2, 2, 2, 2, 14, 15, 15, 15, 15, 15, 15, 16, 8, 10, 2, 14, 15, 15, 15, 16, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 10, 2]"
17,"['现', '任', '中', '国', '政', '法', '大', '学', '商', '学', '院', '教', '授', '、', '博', '士', '生', '导', '师', '，', '湖', '北', '天', '华', '股', '份', '有', '限', '公', '司', '独', '立', '董', '事', '。']","[133, 61, 5, 6, 198, 199, 144, 27, 98, 27, 99, 200, 201, 32, 178, 102, 19, 202, 31, 4, 203, 128, 172, 121, 84, 85, 86, 87, 70, 71, 204, 205, 66, 67, 54]","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O']","[2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 16, 8, 10, 2, 8, 9, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2]"
18,"['贾', '志', '颖', '女', '士', '：', '1', '9', '7', '1', '年', '出', '生', '，', '中', '国', '国', '籍', '，', '无', '境', '外', '永', '久', '居', '留', '权', '，', '本', '科', '学', '历', '。']","[206, 207, 208, 209, 102, 2, 14, 15, 57, 14, 17, 18, 19, 4, 5, 6, 6, 7, 4, 8, 9, 10, 94, 95, 11, 12, 13, 4, 25, 26, 27, 28, 54]","['B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONT', 'M-CONT', 'M-CONT', 'E-CONT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'O']","[0, 17, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 11, 12, 12, 13, 2]"
19,"['历', '任', '天', '津', '市', '化', '工', '原', '料', '总', '公', '司', '综', '合', '分', '公', '司', '会', '计', '主', '管', '，', '天', '津', '新', '星', '文', '教', '学', '具', '有', '限', '公', '司', '财', '务', '经', '理', '，', 'G', 'M', 'P', 'T', '（', '天', '津', '）', '发', '展', '有', '限', '公', '司', '财', '务', '经', '理', '，', '天', '津', '赛', '象', '科', '技', '股', '份', '有', '限', '公', '司', '会', '计', '，', '现', '任', '天', '津', '赛', '象', '酒', '店', '有', '限', '公', '司', '财', '务', '部', '经', '理', '，', '公', '司', '监', '事', '。']","[28, 61, 172, 189, 168, 83, 29, 210, 211, 89, 70, 71, 74, 75, 212, 70, 71, 39, 100, 117, 36, 4, 172, 189, 171, 213, 214, 200, 27, 215, 86, 87, 70, 71, 125, 126, 53, 37, 4, 216, 44, 43, 217, 42, 172, 189, 50, 165, 218, 86, 87, 70, 71, 125, 126, 53, 37, 4, 172, 189, 219, 220, 26, 123, 84, 85, 86, 87, 70, 71, 39, 100, 4, 133, 61, 172, 189, 219, 220, 221, 222, 86, 87, 70, 71, 125, 126, 76, 53, 37, 4, 70, 71, 185, 67, 54]","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O']","[2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 9, 9, 9, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 10, 2, 2, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 9, 10, 2, 14, 16, 8, 10, 2]"
20,"['段', '继', '东', '，', '男', '，', '汉', '族', '，']","[223, 224, 79, 4, 3, 4, 20, 21, 4]","['B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'O', 'B-RACE', 'E-RACE', 'O']","[0, 17, 1, 2, 2, 2, 6, 7, 2]"
21,"['1', '9', '6', '5', '年', '5', '月', '出', '生', '，', '本', '科', '学', '历', '。']","[14, 15, 16, 93, 17, 93, 58, 18, 19, 4, 25, 26, 27, 28, 54]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'O']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 11, 12, 12, 13, 2]"
22,"['曾', '任', '山', '东', '齐', '鲁', '制', '药', '集', '团', '副', '总', '经', '理', '、', '贵', '州', '神', '奇', '制', '药', '有', '限', '公', '司', '常', '务', '副', '总', '经', '理', '、', '昆', '明', '制', '药', '股', '份', '有', '限', '公', '司', '总', '裁', '等', '职', '务', '。']","[184, 61, 78, 79, 225, 226, 227, 228, 166, 167, 88, 89, 53, 37, 32, 229, 97, 230, 231, 227, 228, 86, 87, 70, 71, 232, 126, 88, 89, 53, 37, 32, 233, 234, 227, 228, 84, 85, 86, 87, 70, 71, 89, 136, 131, 132, 126, 54]","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'O', 'O', 'O']","[2, 2, 14, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 9, 9, 9, 9, 10, 2, 14, 15, 15, 15, 15, 15, 15, 15, 15, 16, 8, 10, 2, 2, 2, 2]"
